Times_serviced,Total_service_pay,Average_service_pay,Loyal_or_Disloyal,Loyal,Service_time,Commercial_electronic_messages,Model_year,Number_of_years,Customer_cost,Rate,Number_active_cars,number_historic_cars,odometer_reading,Income,province,Term,Total_monthly_payment,Total_pay,Warranty_pay,Age,Days_since_last_service,Used_or_New,product_category
11,755,68.63636364,1,Loyal,2,0,2018,15,0,1,1,2,11561,60000,2,36,1315,47340,5469.912,57,662.7916667,0,0
13,3923.929945,301.840765,0,Disloyal,1,0,2015,12,96.85,1.5,3,2,90175,90175,4,36,1342.5,48330,5465.197309,44,994.8333332,0,1
24,20551.20992,856.3004133,0,Disloyal,2,0,2018,15,0,1.75,1,1,8778,60000,3,48,1529,73392,5451.096,56,234.7917,0,0
14,4413.689941,315.2635672,1,Loyal,28,1,2018,15,0,1.75,1,3,15024,60000,1,39,672,26208,5451.054,47,240.7917,0,1
10,2208.86998,220.886998,0,Disloyal,3.5,0,2018,15,0,1.5,3,5,22860,60000,1,43.5,879.5,38258.25,5444.165802,50,386.8125,0,1
17,1232.48,72.49882353,0,Disloyal,1,0,2016,13,2000.64,0.75,1,2,103545,103545,1,60,1186,71160,5434.128141,56,1152.833333,1,0
7,1669.280029,238.4685756,1,Loyal,1,0,2016,13,0,0.75,1,1,42708,60000,1,48,762,36576,5431.177487,52,1159.833333,1,0
12,4503.029953,375.2524961,1,Loyal,9,0,2018,15,0,0.75,1,4,6902,60000,2,39,3251,126789,5419.889795,56,537.8333333,0,1
15,4462.759975,297.5173317,1,Loyal,30,1,2011,8,210.83,0.75,1,3,121697,121697,3,60,890,53400,5415.962997,70,2727.833333,0,1
14,7581.659971,541.5471408,0,Disloyal,20,0,2018,15,0,2,1,1,11305,60000,3,36,1159,41724,5406.030103,56,337.8333333,1,1
12,0,0,1,Loyal,2,0,2017,14,0,0.75,1,2,43328,60000,1,39,466,18174,5396.086,58,738.8333333,1,0
44,2532.639938,57.55999859,0,Disloyal,1,0,2015,12,0,1.25,1,2,43310,60000,2,54,622,33588,5385.628418,26,979.3958335,1,0
8,0,0,0,Disloyal,25,0,2012,9,0,0.75,1,1,68539,68539,1,72,566,40752,5382.814486,38,997.7916667,0,1
7,1956.399979,279.4857113,1,Loyal,1,0,2017,14,0,0.75,1,3,28876,60000,2,48,715,34320,5377.385982,51,823.8333333,1,0
8,1061.719971,132.7149964,0,Disloyal,1.666666667,1,2019,16,0,2,1,7,31244,60000,1,28,508,14224,5359.767199,22,589.8611111,0,0
13,3030.230076,233.0946212,1,Loyal,2,0,2018,15,0,0,1,6,6607,60000,3,36,1060,38160,5352.805664,55,129.8333333,0,1
7,0,0,0,Disloyal,9,0,2014,11,0,0.75,1,1,96378,96378,2,60,1240.5,74430,5347.166839,53,874.8125,1,1
22,1030.549973,46.84318059,1,Loyal,3,1,2018,15,0,1.5,1,3,15925,60000,5,45,1253,56385,5346.064362,48,410.8333333,1,0
16,3737.759953,233.6099971,1,Loyal,33,0,2016,13,0,1.25,1,2,78075,78075,4,60,1318,79080,5335.228418,46,1052.833333,0,1
11,3235.560009,294.141819,0,Disloyal,0.6,0,2015,12,673.55,0,4,10,120176,120176,1,33.6,305.8,10274.88,5333.475208,64,707.1166667,1,0
21,4934.089977,234.9566656,0,Disloyal,1,0,2016,13,0,0.75,1,2,74307,74307,3,48,611,29328,5327.364185,46,1010.791667,0,0
14,1246.949997,89.06785693,0,Disloyal,1,0,2017,14,0,0.75,1,1,53769,53769,3,48,646,31008,5325.610254,56,1030.833333,0,0
